State/UT,Year,January,February,March,April,May,June,July,August,September,October,November,December,Annual
Madhya Pradesh,2017,4.88627451,3.668627451,1.81372549,0.084313725,8.854901961,118.327451,319.5843137,177.1529412,143.5235294,13.04117647,0.345098039,1.521568627,792.8039216
Maharashtra,2017,0.116666667,0.013888889,2.769444444,0.252777778,14.05277778,281.575,367.6527778,312.2388889,230.6527778,97.425,2.025,11.23055556,1320.005556
Himachal Pradesh,2017,154.025,36.11666667,52.64166667,74.33333333,66.90833333,142.7333333,252.7666667,329.4166667,119.25,0.291666667,5.1,45.48333333,1279.066667
Rajasthan,2017,7.609090909,0.106060606,4.63030303,1.348484848,17.55151515,87.51818182,285.7969697,114.2484848,41.09090909,0,0.503030303,3.106060606,563.5090909
Odisha,2017,1.631034483,0,32.41034483,8.027586207,51.45862069,206.4172414,336.2034483,295.5448276,192.637931,166.3206897,34.40344828,6.724137931,1331.77931
Dadra and Nagar Haveli,2017,,,0,0,1.9,748.7,1295.6,700.4,306,121.9,,,3174.5
Jharkhand,2017,5.140909091,0.054545455,4.113636364,7.872727273,56.8375,117.7916667,501.8875,260.1083333,144.8166667,113.7166667,2.090909091,0.422727273,1214.853788
Assam,2017,1.2375,43.4,110.8583333,327.0625,275.4291667,435.1083333,417.7291667,461.7833333,369.0541667,212.5791667,10.59565217,13.988,2678.825319
Andhra Pradesh,2017,1.861538462,0,14.33846154,8.553846154,34.4,134.3461538,135.2307692,221.2615385,159.0076923,156.2846154,42.95384615,3.246153846,911.4846154
Jammu and Kashmir,2017,226.6176471,100.7529412,74.18888889,142.7055556,31.53888889,137.2894737,156.3684211,138.1421053,38.05263158,0.205263158,10.93157895,69.57894737,1126.372343
Bihar,2017,0.515789474,0,20.67105263,19.64736842,79.77368421,87.36842105,372.6342105,313.3289474,125.0026316,50.4,0.021052632,0.018421053,1069.381579
Chhattisgarh,2017,1.023076923,0.703846154,3.988461538,0.638461538,15.99230769,194.55,361.3653846,307.1653846,179.0192308,62.25769231,0.223076923,0,1126.926923
Goa,2017,0,0,0,0,54.15,811.25,835.95,511.75,412.65,150.05,0.55,8.15,2784.5
Tamil Nadu,2017,40.540625,1.1125,35.021875,14.615625,66.975,52.6375,44.89375,161.775,162.4875,157.209375,169.68125,102.3625,1009.3125
Nagaland,2017,1.583333333,0.76,94.85,165.85,152.7333333,269.9666667,305.0833333,268.8666667,223.46,164.8666667,9.95,31.75,1689.72
Chandigarh,2017,137,1.6,22,10.5,5.7,103.1,195.2,309.4,145.1,0,0,14.8,944.4
West Bengal,2017,1.21,0.275,45.415,53.61,132.585,234.305,466.57,436.285,225.38,193.9,15.85,10.005,1815.39
Manipur,2017,2.4,18.74,126.48,229.675,137.8333333,237.525,298.125,320.9,359.05,308.75,2.8,102.65,2144.928333
Arunachal Pradesh,2017,7.028571429,78.86428571,210.4285714,360.35,279.7428571,382.4714286,464.1307692,491.2538462,318.8153846,234.3833333,9.825,2.6,2839.894048
Sikkim,2017,7.466666667,12.06666667,134.7666667,199.225,240.65,346.225,525.85,492.875,443.075,114.925,7.85,0,2524.975
Meghalaya,2017,4.014285714,32.51428571,155.9166667,418.84,333.3666667,943.58,680.825,986.8,540.225,309.475,13.475,10,4429.031905
Haryana,2017,40.0952381,0.380952381,7.776190476,3.90952381,11.38571429,125.0761905,73.16190476,88.86190476,100.647619,0,1.028571429,4.838095238,457.1619048
Mizoram,2017,0.25,3.85,91.95,270.625,149.175,630.4,600.2666667,948.9666667,485.3333333,310.4,19.13333333,58.16666667,3568.516667
Kerala,2017,14.42142857,0.257142857,86.77857143,53.81428571,220.7642857,587.3857143,382.8642857,448.7642857,431,229.7428571,161.9142857,62.67142857,2680.378571
