Annual Total,April,August,December,District,February,January,July,June,March,May,November,October,September,State,Year,_id
1055.0,56.8,24.3,9.4,Kinnaur,242.9,150.7,24.0,335.4,89.4,31.4,8.4,5.5,76.8,Himachal Pradesh,2013,5b0558d45cfe9b8414e399f5
459.7,52.9,8.6,39.3,Kinnaur,140.7,78.1,25.9,7.3,69.5,25.6,0.2,1.4,10.2,Himachal Pradesh,2014,5b0558d45cfe9b8414e399f6
912.7,61.3,201.4,27.8,Kulu,43.0,141.8,116.2,34.4,0.0,105.2,1.1,166.5,14.0,Himachal Pradesh,2004,5b0558d45cfe9b8414e399f7
1042.2,24.9,49.3,0.0,Kulu,142.2,80.7,294.6,76.3,162.7,96.6,0.0,0.7,114.2,Himachal Pradesh,2005,5b0558d45cfe9b8414e399f8
873.1,63.6,124.2,40.2,Kulu,56.8,123.0,157.6,53.6,84.8,47.0,19.9,12.1,90.3,Himachal Pradesh,2006,5b0558d45cfe9b8414e399f9
851.4,18.1,125.4,19.8,Kulu,173.5,0.0,121.0,38.7,203.0,94.5,0.0,18.2,39.2,Himachal Pradesh,2007,5b0558d45cfe9b8414e399fa
1446.0,83.0,287.7,57.1,Kulu,55.4,181.5,251.1,181.9,6.3,89.1,1.8,35.0,216.1,Himachal Pradesh,2008,5b0558d45cfe9b8414e399fb
1178.7,83.5,161.3,24.2,Kulu,105.3,109.9,160.5,43.3,51.2,78.8,136.4,12.4,211.9,Himachal Pradesh,2009,5b0558d45cfe9b8414e399fc
1746.5,70.1,408.7,69.2,Kulu,177.7,21.8,292.8,198.4,103.8,102.5,15.7,50.9,234.9,Himachal Pradesh,2010,5b0558d45cfe9b8414e399fd
1319.6,148.0,330.7,20.6,Kulu,181.6,54.6,146.0,123.0,136.1,61.9,3.0,3.3,110.8,Himachal Pradesh,2011,5b0558d45cfe9b8414e399fe
1284.3,98.0,265.4,77.5,Kulu,184.0,140.3,180.2,44.5,85.2,24.8,13.5,4.3,166.6,Himachal Pradesh,2012,5b0558d45cfe9b8414e399ff
1291.7,40.9,205.8,35.2,Kulu,274.6,110.9,214.4,155.9,117.1,41.1,21.9,10.1,63.8,Himachal Pradesh,2013,5b0558d45cfe9b8414e39a00
1156.6,88.3,114.2,72.6,Kulu,150.7,83.1,181.0,50.0,204.9,114.6,5.1,21.3,70.8,Himachal Pradesh,2014,5b0558d45cfe9b8414e39a01
"",,,,Lahaul and Spiti,,,,,,,,,,Himachal Pradesh,2004,5b0558d45cfe9b8414e39a02
"",,,,Lahaul and Spiti,,,,,,,,,,Himachal Pradesh,2005,5b0558d45cfe9b8414e39a03
"",,,,Punch,,,,,,,,,,Jammu and Kashmir,2008,5b0558d35cfe9b8414e38e3a
