Annual Total,April,August,December,District,February,January,July,June,March,May,November,October,September,State,Year,_id
493.3,23.2,9.9,0.0,Gadag,0.0,0.0,26.4,141.4,5.2,101.5,35.6,62.2,87.9,Karnataka,2006,5b0558d45cfe9b8414e39532
790.0,12.1,85.8,0.2,Gadag,0.0,0.0,110.9,153.2,1.7,49.3,13.2,68.3,295.3,Karnataka,2007,5b0558d45cfe9b8414e39533
733.8,51.6,60.7,1.4,Gadag,0.1,0.0,40.1,64.4,195.0,46.4,98.0,85.4,90.7,Karnataka,2008,5b0558d45cfe9b8414e39534
961.1,32.5,242.8,62.1,Gadag,0.0,0.0,60.6,88.2,11.4,78.1,44.7,170.8,169.9,Karnataka,2009,5b0558d45cfe9b8414e39535
720.0,23.0,158.9,0.2,Gadag,9.3,6.6,85.1,70.7,0.0,71.0,147.6,78.5,69.1,Karnataka,2010,5b0558d45cfe9b8414e39536
427.9,63.2,104.2,0.0,Gadag,0.6,0.0,53.4,55.3,2.0,50.8,0.6,68.7,29.1,Karnataka,2011,5b0558d45cfe9b8414e39537
491.3,54.3,78.3,0.0,Gadag,0.0,0.0,41.5,28.9,0.0,46.0,150.1,41.7,50.5,Karnataka,2012,5b0558d45cfe9b8414e39538
542.5,47.1,43.1,0.0,Gadag,0.0,0.0,52.8,79.9,10.5,58.1,0.3,80.9,169.8,Karnataka,2013,5b0558d45cfe9b8414e39539
774.2,24.4,188.4,30.8,Gadag,19.9,0.0,125.9,61.3,12.1,115.0,29.0,99.0,68.4,Karnataka,2014,5b0558d45cfe9b8414e3953a
652.1,42.9,38.2,0.0,Gulbarga,0.1,9.2,157.7,52.7,0.4,104.0,2.3,79.6,165.0,Karnataka,2004,5b0558d45cfe9b8414e3953b
911.3,78.8,138.6,0.0,Gulbarga,3.3,24.9,225.0,60.6,12.9,21.3,1.1,121.1,223.7,Karnataka,2005,5b0558d45cfe9b8414e3953c
527.9,14.6,51.1,0.0,Gulbarga,0.0,0.0,47.4,97.1,19.4,85.9,32.3,37.4,142.7,Karnataka,2006,5b0558d45cfe9b8414e3953d
764.2,5.5,149.3,0.1,Gulbarga,0.0,0.0,84.5,237.3,0.3,23.9,14.1,14.7,234.5,Karnataka,2007,5b0558d45cfe9b8414e3953e
744.0,6.1,152.6,8.1,Gulbarga,4.5,0.0,102.9,62.2,143.1,5.1,16.3,74.4,168.7,Karnataka,2008,5b0558d45cfe9b8414e3953f
906.6,7.7,198.9,6.2,Gulbarga,0.0,0.0,45.0,98.8,7.5,30.4,38.8,180.1,293.2,Karnataka,2009,5b0558d45cfe9b8414e39540
938.9,14.9,245.6,3.5,Gulbarga,5.3,7.8,247.3,117.9,1.2,27.5,45.1,87.6,135.2,Karnataka,2010,5b0558d45cfe9b8414e39541
683.1,38.0,210.3,0.0,Gulbarga,13.9,1.6,201.6,72.7,2.0,30.2,1.1,60.5,51.2,Karnataka,2011,5b0558d45cfe9b8414e39542
667.7,48.5,135.8,0.0,Gulbarga,0.0,0.2,143.8,97.5,0.0,15.7,18.6,108.7,98.9,Karnataka,2012,5b0558d45cfe9b8414e39543
838.9,25.8,77.0,0.3,Gulbarga,12.1,0.0,192.9,112.7,2.6,40.3,5.7,74.8,294.7,Karnataka,2013,5b0558d45cfe9b8414e39544
735.6,31.6,237.9,8.3,Gulbarga,4.7,0.0,104.1,42.6,34.5,77.0,31.0,38.3,125.6,Karnataka,2014,5b0558d45cfe9b8414e39545
1074.7,117.5,163.8,0.0,Hassan,0.1,0.1,92.1,215.1,7.7,212.6,22.2,141.6,101.9,Karnataka,2004,5b0558d45cfe9b8414e39546
1408.7,105.0,211.8,2.2,Hassan,2.2,17.6,395.9,116.1,3.5,114.0,57.5,291.3,91.6,Karnataka,2005,5b0558d45cfe9b8414e39547
948.2,54.8,98.2,0.9,Hassan,0.0,0.1,193.4,184.6,47.3,142.0,98.1,29.9,98.9,Karnataka,2006,5b0558d45cfe9b8414e39548
1214.5,37.5,220.8,2.9,Hassan,0.0,0.0,206.0,227.7,3.4,72.3,16.7,293.9,133.3,Karnataka,2007,5b0558d45cfe9b8414e39549
1331.5,91.9,163.5,8.9,Bangalore Rural,3.1,0.7,129.1,219.1,9.4,122.9,97.4,324.5,161.0,Karnataka,2005,5b0558d45cfe9b8414e39262
513.7,11.0,31.1,1.7,Bangalore Rural,0.0,0.0,37.2,96.6,62.7,72.5,79.7,75.6,45.6,Karnataka,2006,5b0558d45cfe9b8414e39263
804.8,46.3,133.6,20.3,Bangalore Rural,1.3,0.0,100.8,57.1,0.0,76.6,18.6,184.2,166.0,Karnataka,2007,5b0558d45cfe9b8414e39264
884.6,15.2,223.0,2.3,Bangalore Rural,2.1,0.0,149.1,11.8,100.9,100.7,25.2,150.4,103.9,Karnataka,2008,5b0558d45cfe9b8414e39265
681.8,11.7,101.5,20.0,Bangalore Rural,0.0,0.0,30.0,96.3,17.3,92.4,31.3,23.2,258.1,Karnataka,2009,5b0558d45cfe9b8414e39266
965.6,42.4,148.4,11.2,Bangalore Rural,0.0,0.0,145.6,141.4,18.5,114.0,149.1,86.1,108.9,Karnataka,2010,5b0558d45cfe9b8414e39267
799.5,88.7,230.6,5.2,Bangalore Rural,2.5,0.0,106.1,47.4,2.7,97.5,26.7,130.2,61.9,Karnataka,2011,5b0558d45cfe9b8414e39268
650.5,57.7,138.3,14.4,Bangalore Rural,0.0,0.0,73.2,20.4,4.3,108.2,106.8,79.6,47.6,Karnataka,2012,5b0558d45cfe9b8414e39269
872.8,38.9,75.8,5.1,Bangalore Rural,6.9,0.0,83.7,81.5,2.3,119.6,59.8,130.7,268.5,Karnataka,2013,5b0558d45cfe9b8414e3926a
946.1,11.0,162.6,3.9,Bangalore Rural,0.1,0.0,90.1,61.4,19.6,92.5,35.4,267.2,202.3,Karnataka,2014,5b0558d45cfe9b8414e3926b
1026.1,47.5,65.2,0.0,Bangalore Urban,1.2,5.4,210.4,75.7,5.5,205.3,25.7,197.3,186.9,Karnataka,2004,5b0558d45cfe9b8414e3926c
1350.8,75.1,194.0,6.3,Bangalore Urban,4.4,1.6,136.4,127.9,13.4,115.7,56.5,446.0,173.5,Karnataka,2005,5b0558d45cfe9b8414e3926d
639.1,25.2,44.2,0.3,Bangalore Urban,0.0,0.3,53.6,190.5,62.7,133.9,48.0,48.9,31.5,Karnataka,2006,5b0558d45cfe9b8414e3926e
1505.8,0.0,471.9,0.0,Jamnagar,0.0,0.3,619.3,112.2,0.0,0.0,62.0,3.0,237.1,Gujarat,2010,5b0558d45cfe9b8414e3926f
794.6,0.0,201.6,0.0,Jamnagar,0.4,0.0,208.9,24.2,0.0,0.0,0.1,0.0,359.4,Gujarat,2011,5b0558d45cfe9b8414e39270
367.2,0.0,21.8,0.8,Jamnagar,0.0,0.0,38.2,17.5,0.0,0.0,0.0,0.0,288.9,Gujarat,2012,5b0558d45cfe9b8414e39271
934.1,0.0,115.8,0.0,Jamnagar,0.6,1.3,236.6,180.9,0.1,0.0,0.0,36.6,362.2,Gujarat,2013,5b0558d45cfe9b8414e39272
541.5,0.0,214.7,0.0,Jamnagar,0.0,0.0,183.9,18.1,0.0,0.0,1.4,4.0,119.4,Gujarat,2014,5b0558d45cfe9b8414e39273
1031.5,0.0,578.0,0.0,Junagarh,0.0,0.8,184.0,218.2,0.0,5.6,0.0,14.6,30.3,Gujarat,2004,5b0558d45cfe9b8414e39274
952.7,0.0,88.9,0.0,Junagarh,0.0,0.0,174.3,316.7,0.0,0.0,0.0,1.4,371.4,Gujarat,2005,5b0558d45cfe9b8414e39275
978.9,0.0,223.4,0.0,Junagarh,0.0,0.0,508.8,134.9,0.3,0.0,1.5,2.7,107.3,Gujarat,2006,5b0558d45cfe9b8414e39276
1653.7,0.0,956.0,0.0,Junagarh,0.1,0.0,226.5,154.2,0.0,0.0,2.8,0.0,314.1,Gujarat,2007,5b0558d45cfe9b8414e39277
1121.6,0.0,108.8,0.0,Junagarh,0.1,0.0,551.2,111.9,0.0,0.0,0.0,4.6,345.0,Gujarat,2008,5b0558d45cfe9b8414e39278
1333.9,0.0,66.9,0.0,Junagarh,0.0,0.0,1035.7,204.9,0.0,0.0,7.6,2.4,16.4,Gujarat,2009,5b0558d45cfe9b8414e39279
1701.7,0.0,540.1,0.0,Junagarh,0.0,0.0,686.8,88.7,0.0,1.0,87.5,30.5,267.1,Gujarat,2010,5b0558d45cfe9b8414e3927a
1080.1,0.4,402.5,0.0,Junagarh,0.0,0.0,316.1,166.3,0.0,0.0,0.0,8.7,186.1,Gujarat,2011,5b0558d45cfe9b8414e3927b
429.8,0.4,66.4,0.0,Junagarh,0.0,0.0,70.5,17.4,0.0,0.0,0.0,0.0,275.1,Gujarat,2012,5b0558d45cfe9b8414e3927c
1192.4,0.6,100.7,0.0,Junagarh,0.0,0.0,368.2,404.7,0.0,0.0,0.0,76.4,241.8,Gujarat,2013,5b0558d45cfe9b8414e3927d
930.4,0.6,300.8,0.0,Junagarh,0.0,0.0,258.1,119.5,1.1,0.0,16.1,20.4,213.8,Gujarat,2014,5b0558d45cfe9b8414e3927e
830.6,0.0,558.5,0.0,Khera,0.0,0.0,156.4,70.4,0.0,0.0,0.0,14.2,31.1,Gujarat,2004,5b0558d45cfe9b8414e3927f
1138.7,0.0,130.0,0.0,Khera,0.0,0.0,398.1,320.1,0.0,0.0,0.0,0.0,290.5,Gujarat,2005,5b0558d45cfe9b8414e39280
1412.5,0.0,643.9,0.0,Khera,0.0,0.0,616.4,59.5,0.6,0.0,0.0,0.7,91.4,Gujarat,2006,5b0558d45cfe9b8414e39281
1143.9,0.0,385.5,0.0,Khera,0.0,0.0,513.6,64.1,0.0,0.0,0.0,0.0,180.7,Gujarat,2007,5b0558d45cfe9b8414e39282
758.1,0.0,313.5,0.2,Khera,0.0,0.0,207.0,35.9,0.0,0.0,0.0,0.0,201.5,Gujarat,2008,5b0558d45cfe9b8414e39283
450.9,0.0,144.8,0.0,Khera,0.0,0.0,285.0,1.7,0.0,0.0,2.8,13.6,3.0,Gujarat,2009,5b0558d45cfe9b8414e39284
847.0,0.0,408.6,0.6,Khera,0.0,0.0,264.8,21.9,0.0,0.0,33.8,0.0,117.3,Gujarat,2010,5b0558d45cfe9b8414e39285
584.3,0.0,374.6,0.0,Khera,0.0,0.0,145.8,4.1,0.0,0.0,0.0,0.0,59.8,Gujarat,2011,5b0558d45cfe9b8414e39286
644.4,0.0,222.5,0.0,Khera,0.0,0.0,124.9,25.0,0.0,0.0,0.0,0.0,272.0,Gujarat,2012,5b0558d45cfe9b8414e39287
1027.2,6.8,191.5,0.0,Khera,0.0,0.0,409.8,127.9,0.0,0.0,0.0,59.3,231.9,Gujarat,2013,5b0558d45cfe9b8414e39288
800.8,0.2,161.8,0.0,Khera,0.0,22.7,313.7,2.7,0.0,0.1,0.0,0.0,299.6,Gujarat,2014,5b0558d45cfe9b8414e39289
"",,,,Yadgir,,,,,,,,,,Karnataka,2009,5b0558d45cfe9b8414e3979a
"",,,,Yadgir,,,,,,,,,,Karnataka,2010,5b0558d45cfe9b8414e3979b
575.2,34.5,162.3,0.0,Yadgir,3.9,0.0,174.1,50.8,0.1,47.4,0.1,52.5,49.5,Karnataka,2011,5b0558d45cfe9b8414e3979c
535.0,31.3,82.6,0.0,Yadgir,0.0,0.0,143.0,68.4,0.0,13.7,19.5,86.8,89.7,Karnataka,2012,5b0558d45cfe9b8414e3979d
764.1,10.6,97.7,0.0,Yadgir,5.9,0.0,100.6,62.5,0.0,44.0,1.1,135.9,305.8,Karnataka,2013,5b0558d45cfe9b8414e3979e
558.6,13.7,186.5,4.3,Yadgir,1.7,0.0,72.5,21.4,37.2,66.9,9.4,62.5,82.5,Karnataka,2014,5b0558d45cfe9b8414e3979f
2796.5,97.9,310.8,0.0,Alapuzha,1.0,2.9,351.4,502.2,50.1,685.1,164.4,414.5,216.2,Kerala,2004,5b0558d45cfe9b8414e397a0
2598.8,248.9,114.2,96.4,Alapuzha,11.8,18.9,521.7,552.1,39.2,177.4,197.3,276.8,344.1,Kerala,2005,5b0558d45cfe9b8414e397a1
3020.6,73.6,332.4,6.0,Alapuzha,0.0,11.7,442.6,481.5,58.4,495.3,268.1,450.8,400.2,Kerala,2006,5b0558d45cfe9b8414e397a2
3106.6,139.7,368.3,6.4,Alapuzha,30.5,0.0,780.2,597.3,2.2,284.2,173.4,306.8,417.6,Kerala,2007,5b0558d45cfe9b8414e397a3
2584.9,166.3,189.4,41.9,Alapuzha,88.2,0.0,660.7,366.5,175.5,127.8,122.3,313.7,332.6,Kerala,2008,5b0558d45cfe9b8414e397a4
2501.1,131.9,164.0,54.6,Alapuzha,4.4,1.7,503.3,559.8,45.3,256.4,318.5,210.9,250.3,Kerala,2009,5b0558d45cfe9b8414e397a5
3058.4,161.6,255.9,96.8,Alapuzha,2.2,16.6,474.6,529.3,92.7,322.0,309.3,555.1,242.3,Kerala,2010,5b0558d45cfe9b8414e397a6
2600.1,183.5,294.0,169.8,Alapuzha,48.0,30.5,377.0,554.3,35.7,251.0,136.6,160.3,359.4,Kerala,2011,5b0558d45cfe9b8414e397a7
1845.7,210.1,407.1,5.5,Alapuzha,19.9,44.1,271.5,215.7,60.7,159.5,105.2,151.0,195.4,Kerala,2012,5b0558d45cfe9b8414e397a8
2823.9,40.3,245.3,15.2,Alapuzha,88.4,24.0,637.6,935.9,49.8,137.4,171.5,186.4,292.1,Kerala,2013,5b0558d45cfe9b8414e397a9
2469.0,143.8,615.3,52.3,Alapuzha,23.3,0.2,355.6,362.8,32.7,250.6,93.8,311.0,227.6,Kerala,2014,5b0558d45cfe9b8414e397aa
3203.5,87.0,424.6,0.0,Ernakulam,8.4,2.5,424.4,650.0,36.9,711.6,135.8,507.2,215.1,Kerala,2004,5b0558d45cfe9b8414e397ab
3401.9,237.2,355.3,20.4,Ernakulam,1.2,52.1,820.2,840.5,8.2,121.9,193.1,279.0,472.8,Kerala,2005,5b0558d45cfe9b8414e397ac
3858.0,42.9,498.4,3.1,Ernakulam,0.0,12.7,583.9,654.0,62.0,622.5,394.5,478.4,505.6,Kerala,2006,5b0558d45cfe9b8414e397ad
4045.7,146.5,480.1,9.8,Ernakulam,1.4,1.9,1132.8,815.0,9.2,193.5,66.1,522.1,667.3,Kerala,2007,5b0558d45cfe9b8414e397ae
773.8,0.0,291.6,0.0,Bhabua,31.0,14.2,213.0,19.5,11.0,8.0,0.0,35.5,150.0,Bihar,2014,5b0558d45cfe9b8414e397af
1254.9,0.0,622.9,0.0,Ratlam,0.0,0.0,356.3,90.2,0.0,0.4,0.0,0.0,185.1,Madhya Pradesh,2011,5b0558d45cfe9b8414e3965a
1018.4,0.0,418.7,0.0,Ratlam,0.0,0.1,361.7,7.9,0.0,21.0,0.0,0.0,209.0,Madhya Pradesh,2012,5b0558d45cfe9b8414e3965b
1353.0,5.6,335.6,8.3,Ratlam,9.1,0.0,532.2,183.3,5.0,0.1,0.0,97.5,176.3,Madhya Pradesh,2013,5b0558d45cfe9b8414e3965c
614.3,0.0,155.2,0.5,Ratlam,19.6,27.0,242.7,0.4,2.6,2.5,0.0,11.0,152.8,Madhya Pradesh,2014,5b0558d45cfe9b8414e3965d
999.3,0.0,231.6,0.0,Rewa,0.0,32.2,207.6,317.1,0.0,0.0,0.0,35.7,175.1,Madhya Pradesh,2004,5b0558d45cfe9b8414e3965e
"",0.0,163.8,0.0,Rewa,24.4,25.2,570.0,75.5,,0.0,0.0,0.0,105.9,Madhya Pradesh,2005,5b0558d45cfe9b8414e3965f
698.0,0.0,199.6,0.0,Rewa,0.0,0.0,363.3,39.5,0.0,0.0,25.7,0.0,69.9,Madhya Pradesh,2006,5b0558d45cfe9b8414e39660
"",68.2,170.2,0.0,Bhagalpur,0.5,20.6,409.1,223.6,15.1,42.6,,121.7,76.0,Bihar,2004,5b0558d45cfe9b8414e397b0
864.2,0.0,98.0,14.0,Rewa,107.7,0.0,144.8,168.2,18.0,18.3,0.0,51.2,244.0,Madhya Pradesh,2007,5b0558d45cfe9b8414e39661
"",1.2,194.6,0.0,Rewa,9.4,4.6,353.4,175.8,0.0,29.3,,1.2,73.4,Madhya Pradesh,2008,5b0558d45cfe9b8414e39662
667.7,7.0,104.2,2.0,Rewa,0.0,40.6,250.0,14.6,0.0,0.0,46.9,72.4,130.0,Madhya Pradesh,2009,5b0558d45cfe9b8414e39663
813.7,0.0,264.2,0.0,Rewa,56.0,2.2,226.4,13.4,0.0,12.8,12.1,18.0,208.6,Madhya Pradesh,2010,5b0558d45cfe9b8414e39664
1192.0,0.0,456.6,0.0,Bhagalpur,5.2,11.3,414.1,41.1,18.5,33.9,0.0,71.2,140.1,Bihar,2005,5b0558d45cfe9b8414e397b1
1106.9,1.4,348.0,0.0,Rewa,3.6,0.0,179.6,362.1,0.0,25.4,0.0,0.0,186.8,Madhya Pradesh,2011,5b0558d45cfe9b8414e39665
1224.2,0.0,410.9,1.5,Rewa,0.0,27.6,622.7,8.2,8.2,0.0,0.0,2.3,142.8,Madhya Pradesh,2012,5b0558d45cfe9b8414e39666
1479.2,3.1,472.8,0.0,Rewa,46.5,0.0,503.8,183.4,15.4,0.0,0.0,145.4,108.8,Madhya Pradesh,2013,5b0558d45cfe9b8414e39667
957.9,3.0,155.7,14.9,Rewa,82.4,72.4,242.5,92.9,4.5,4.2,0.0,151.3,134.1,Madhya Pradesh,2014,5b0558d45cfe9b8414e39668
1305.7,28.2,151.3,2.0,Bhagalpur,0.0,0.0,249.8,204.1,4.9,63.7,6.1,66.8,528.8,Bihar,2006,5b0558d45cfe9b8414e397b2
1070.7,5.0,363.6,0.0,Sagar,0.0,25.6,182.0,306.8,0.0,42.0,9.4,35.7,100.6,Madhya Pradesh,2004,5b0558d45cfe9b8414e39669
1644.6,3.6,213.3,3.9,Sagar,3.2,11.6,1012.0,186.6,49.3,3.3,0.0,1.2,156.6,Madhya Pradesh,2005,5b0558d45cfe9b8414e3966a
1040.1,8.1,308.5,0.0,Sagar,0.0,0.0,419.4,73.9,68.1,36.1,9.6,1.4,115.0,Madhya Pradesh,2006,5b0558d45cfe9b8414e3966b
"",3.6,202.8,0.0,Bhagalpur,15.5,,543.7,115.6,24.8,117.5,0.0,92.5,383.5,Bihar,2007,5b0558d45cfe9b8414e397b3
746.5,1.0,216.5,4.6,Sagar,21.6,0.0,260.8,106.0,0.4,15.9,0.2,0.0,119.5,Madhya Pradesh,2007,5b0558d45cfe9b8414e3966c
1110.1,9.7,226.3,0.0,Bhagalpur,0.6,45.3,216.0,377.8,0.3,87.6,0.0,35.8,110.7,Bihar,2008,5b0558d45cfe9b8414e397b4
1026.3,7.8,303.9,0.0,Sagar,0.0,0.1,228.4,384.0,5.0,1.2,0.0,9.9,86.0,Madhya Pradesh,2008,5b0558d45cfe9b8414e3966d
1498.6,0.0,500.9,0.8,Bhagalpur,2.7,2.0,326.2,65.8,2.5,202.8,2.8,172.1,220.0,Bihar,2009,5b0558d45cfe9b8414e397b5
1115.3,1.4,249.8,8.4,Sagar,2.9,3.6,266.2,45.6,0.3,9.5,131.4,113.8,282.4,Madhya Pradesh,2009,5b0558d45cfe9b8414e3966e
765.2,2.2,195.6,0.7,Bhagalpur,4.2,0.0,234.3,105.8,4.0,65.7,5.3,19.9,127.5,Bihar,2010,5b0558d45cfe9b8414e397b6
717.8,65.4,103.8,25.6,Kolar,0.0,0.0,129.7,35.2,4.7,81.3,101.3,120.8,50.0,Karnataka,2012,5b0558d45cfe9b8414e3966f
1264.5,73.9,358.8,0.0,Bhagalpur,3.1,2.4,179.1,332.2,33.0,89.5,0.0,39.9,152.6,Bihar,2011,5b0558d45cfe9b8414e397b7
663.8,36.8,59.6,3.4,Kolar,16.5,0.0,56.3,55.6,4.9,76.5,20.9,151.7,181.6,Karnataka,2013,5b0558d45cfe9b8414e39670
772.4,5.7,142.7,0.0,Bhagalpur,0.0,16.3,311.6,79.4,2.5,19.5,16.7,54.0,124.0,Bihar,2012,5b0558d45cfe9b8414e397b8
518.0,3.5,45.5,8.5,Kolar,0.0,0.0,58.3,71.7,13.6,85.9,30.6,125.5,74.9,Karnataka,2014,5b0558d45cfe9b8414e39671
1294.7,58.7,266.8,0.0,Bhagalpur,14.5,0.0,142.8,182.1,0.0,143.3,6.8,319.3,160.4,Bihar,2013,5b0558d45cfe9b8414e397b9
540.8,25.7,23.1,0.0,Koppal,0.0,0.2,89.1,88.2,0.0,77.6,1.9,78.5,156.5,Karnataka,2004,5b0558d45cfe9b8414e39672
1178.8,0.0,203.3,0.2,Bhagalpur,38.1,5.6,476.3,95.3,3.8,197.6,0.0,9.0,149.6,Bihar,2014,5b0558d45cfe9b8414e397ba
742.2,51.5,92.5,0.9,Koppal,0.0,1.5,186.5,76.4,8.0,56.6,5.6,127.9,134.8,Karnataka,2005,5b0558d45cfe9b8414e39673
"",0.0,103.5,,Bhojpur,,0.0,119.8,159.5,,26.8,,15.9,22.2,Bihar,2004,5b0558d45cfe9b8414e397bb
383.4,12.6,19.2,0.0,Koppal,0.0,0.0,26.7,86.6,11.2,70.1,17.7,62.0,77.3,Karnataka,2006,5b0558d45cfe9b8414e39674
"",,131.6,,Bhojpur,,,164.6,13.5,,,,0.0,43.6,Bihar,2005,5b0558d45cfe9b8414e397bc
780.4,25.1,90.1,0.5,Koppal,0.0,0.0,71.4,223.2,0.0,50.0,0.9,71.4,247.8,Karnataka,2007,5b0558d45cfe9b8414e39675
"",,100.1,,Bhojpur,,,212.7,35.2,,,,6.0,115.7,Bihar,2006,5b0558d45cfe9b8414e397bd
612.9,7.5,50.5,2.3,Koppal,3.9,0.0,29.0,29.8,165.9,32.6,34.6,63.3,193.5,Karnataka,2008,5b0558d45cfe9b8414e39676
"",,183.1,,Bhojpur,,,572.6,60.0,,,,10.0,223.0,Bihar,2007,5b0558d45cfe9b8414e397be
879.0,6.1,174.4,19.4,Koppal,0.0,0.0,27.8,61.8,3.1,74.8,73.4,209.5,228.7,Karnataka,2009,5b0558d45cfe9b8414e39677
"",,246.5,,Bhojpur,,,405.4,191.3,,,,0.0,157.8,Bihar,2008,5b0558d45cfe9b8414e397bf
800.7,20.4,288.2,0.0,Koppal,0.0,11.3,94.9,70.2,0.0,101.0,96.2,45.6,72.9,Karnataka,2010,5b0558d45cfe9b8414e39678
"",,124.9,,Bhojpur,,,87.3,24.8,,,,5.2,160.8,Bihar,2009,5b0558d45cfe9b8414e397c0
474.2,33.7,122.4,0.0,Koppal,0.0,0.0,125.6,52.0,0.5,56.3,2.6,40.4,40.7,Karnataka,2011,5b0558d45cfe9b8414e39679
"",,119.0,,Bhojpur,,,245.3,22.8,,,,39.1,145.1,Bihar,2010,5b0558d45cfe9b8414e397c1
454.1,51.6,79.8,0.1,Koppal,0.0,0.0,56.9,22.6,0.0,12.7,104.2,67.7,58.5,Karnataka,2012,5b0558d45cfe9b8414e3967a
"",,257.9,,Bhojpur,,,33.9,186.6,0.0,,0.0,0.0,166.4,Bihar,2011,5b0558d45cfe9b8414e397c2
658.6,13.7,69.4,0.0,Koppal,5.0,0.0,91.5,81.3,0.6,57.8,2.2,162.2,174.9,Karnataka,2013,5b0558d45cfe9b8414e3967b
"",1.0,168.3,,Bhojpur,,,203.9,100.5,,,,25.5,151.5,Bihar,2012,5b0558d45cfe9b8414e397c3
756.0,28.4,223.8,16.4,Koppal,9.0,0.0,88.7,50.5,30.2,103.4,14.9,97.3,93.4,Karnataka,2014,5b0558d45cfe9b8414e3967c
"",,219.6,0.0,Bhojpur,,,85.2,214.1,,,0.0,295.9,115.5,Bihar,2013,5b0558d45cfe9b8414e397c4
888.5,102.3,29.7,0.0,Mandya,6.0,0.8,102.0,63.4,8.5,219.1,31.8,162.4,162.5,Karnataka,2004,5b0558d45cfe9b8414e3967d
854.1,0.0,248.0,0.0,Bhojpur,25.8,10.8,192.3,38.9,16.2,40.6,0.0,34.8,246.7,Bihar,2014,5b0558d45cfe9b8414e397c5
1211.7,79.2,142.5,17.1,Mandya,14.5,26.2,116.9,85.7,3.9,183.8,78.0,375.4,88.5,Karnataka,2005,5b0558d45cfe9b8414e3967e
"",,114.0,,Buxar,,,150.6,77.6,,,,1.4,34.0,Bihar,2004,5b0558d45cfe9b8414e397c6
485.6,16.0,24.7,0.2,Mandya,0.0,0.0,16.5,97.6,63.5,108.9,76.1,40.3,41.8,Karnataka,2006,5b0558d45cfe9b8414e3967f
"",,173.7,,Buxar,,,369.2,29.6,,,,14.6,40.8,Bihar,2005,5b0558d45cfe9b8414e397c7
709.4,21.9,118.8,9.6,Mandya,0.0,0.0,43.6,69.0,0.0,86.7,24.6,237.7,97.5,Karnataka,2007,5b0558d45cfe9b8414e39680
"",,129.6,,Buxar,,,191.3,54.6,,,,0.0,106.2,Bihar,2006,5b0558d45cfe9b8414e397c8
691.2,23.0,112.7,1.9,Mandya,6.6,0.0,85.8,89.7,141.8,34.9,14.0,124.3,56.5,Karnataka,2008,5b0558d45cfe9b8414e39681
"",,210.9,,Buxar,,,364.0,27.0,,,,2.0,188.3,Bihar,2007,5b0558d45cfe9b8414e397c9
"",,312.7,,Buxar,,,360.3,371.8,,,,43.8,25.3,Bihar,2008,5b0558d45cfe9b8414e397ca
677.5,27.7,157.6,10.4,Mandya,0.0,0.0,41.0,36.6,5.5,64.6,62.4,55.4,216.3,Karnataka,2009,5b0558d45cfe9b8414e39682
"",,375.6,,Buxar,2.2,,187.6,12.8,,,,100.4,131.6,Bihar,2009,5b0558d45cfe9b8414e397cb
883.3,94.5,113.8,2.2,Mandya,0.0,7.0,91.6,91.2,10.8,88.1,183.5,102.0,98.6,Karnataka,2010,5b0558d45cfe9b8414e39683
"",,297.6,0.0,Buxar,,,93.4,25.4,,,,58.4,127.6,Bihar,2010,5b0558d45cfe9b8414e397cc
760.0,123.3,95.9,0.4,Mandya,21.4,0.0,43.1,18.2,13.9,101.6,118.3,192.6,31.3,Karnataka,2011,5b0558d45cfe9b8414e39684
"",2.4,197.4,0.0,Buxar,0.1,,81.2,403.6,1.6,20.9,0.0,0.0,155.6,Bihar,2011,5b0558d45cfe9b8414e397cd
514.0,107.1,41.9,9.0,Mandya,0.0,0.2,25.5,13.6,0.1,45.5,54.7,132.1,84.3,Karnataka,2012,5b0558d45cfe9b8414e39685
"",2.0,53.8,,Buxar,6.0,1.0,69.8,33.0,7.0,0.0,,5.0,121.6,Bihar,2012,5b0558d45cfe9b8414e397ce
609.3,58.2,34.4,3.1,Mandya,15.6,0.0,32.8,50.0,10.8,91.7,43.8,95.5,173.4,Karnataka,2013,5b0558d45cfe9b8414e39686
"",,175.2,0.0,Buxar,,,147.9,83.6,,,0.0,149.2,71.8,Bihar,2013,5b0558d45cfe9b8414e397cf
787.0,39.4,84.4,22.0,Mandya,0.2,0.0,52.0,57.3,18.1,139.2,6.4,184.9,183.1,Karnataka,2014,5b0558d45cfe9b8414e39687
"",0.0,23.0,,Buxar,31.6,41.8,68.5,15.1,6.4,4.0,0.0,8.2,27.4,Bihar,2014,5b0558d45cfe9b8414e397d0
743.6,90.7,46.5,0.0,Mysore,0.0,0.0,100.3,48.6,8.4,200.9,34.5,119.7,94.0,Karnataka,2004,5b0558d45cfe9b8414e39688
"",45.0,179.4,0.0,Darbhanga,0.0,34.3,279.6,374.9,0.0,53.7,0.0,18.6,86.6,Bihar,2004,5b0558d45cfe9b8414e397d1
1036.7,76.6,111.2,8.7,Mysore,4.1,11.7,141.7,102.6,1.8,91.9,93.3,285.3,107.8,Karnataka,2005,5b0558d45cfe9b8414e39689
"",0.0,245.3,0.0,Darbhanga,,,247.9,32.4,,0.0,,2.2,47.9,Bihar,2005,5b0558d45cfe9b8414e397d2
